TIPO CLIENTE,CPF/CNPJ,NOME/RAZÃO SOCIAL,TELEFONE,EMAIL,CEP,LOGRADOURO,COMPLEMENTO,BAIRRO,ESTADO,MUNICIPIO,NATUREZA DA OPERAÇÃO,ATIVIDADE,DESCRIÇÃO,VALOR,Status,Nota Fiscal
PJ,10.375.443/0001-00,Impacto Comercio,00-9999-0001,impacto@email.com,10000-001,Rua 2,,Bairro 2,Alagoas,MUNIC 2,TM - Tributada no Município,01.01.02 - desenvolvimento de sistemas,PRODUTO 2   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2001,Processado com sucesso,122133
PF,100.381.600-41,Daniel Rocha,00-9999-0000,daniel@email.com,10000-000,Rua 1,0,Bairro 1,Acre,MUNIC 1,,01.06.01 - assessoria ou consultoria em informática,PRODUTO 1   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2000,Processado com sucesso,13214
PJ,10.375.443/0001-01,Musculosa vendas,00-9999-0006,musc@email.com,10000-006,Rua 7,0,Bairro 7,Distrito Federal,MUNIC 7,TO - Tributada em outro Município,"01.03.08 - Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres; aplicativos ou sistemas de informação, entre outros formatos, e congêneres.",PRODUTO 7   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2006,Processado com sucesso,132142
PF,100.381.600-42,Thiago Cardoso,00-9999-0002,thiago@email.com,10000-002,Rua 3,,Bairro 3,Amazonas,MUNIC 3,,01.04.02 - elaboração de jogo eletrônico,PRODUTO 3   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2002,Processado com sucesso,142112
PF,100.381.600-43,Evelyn da Mota,00-9999-0003,evelyn@email.com,10000-003,Rua 4,,Bairro 4,Amapá,MUNIC 4,,01.04.01 - elaboração de programa de computadores,PRODUTO 4   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2003,Processado com sucesso,142141
PJ,10.375.443/0001-03,Fácil Vendas,00-9999-0008,facil@email.com,10000-008,Rua 9,0,Bairro 9,Goiás,MUNIC 9,TM - Tributada no Município,01.06.01 - assessoria ou consultoria em informática,PRODUTO 9   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2008,Processado com sucesso,152112
PF,100.381.600-44,Júlia Barbosa,00-9999-0004,julia@email.com,10000-004,Rua 5,,Bairro 5,Bahia,MUNIC 5,,01.08.01 - projeto de páginas eletrônicas,PRODUTO 5   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2004,Processado com sucesso,152142
PF,100.381.600-45,Carolina Ferreira,00-9999-0005,carolina@email.com,10000-005,Rua 6,0,Bairro 6,Ceará,MUNIC 6,,01.07.01 - suporte técnico em informática,PRODUTO 6   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2005,Processado com sucesso,162111
PJ,10.375.443/0001-02,Engajado contabilidade,00-9999-0007,engag@email.com,10000-007,Rua 8,,Bairro 8,Espírito Santo,MUNIC 8,TM - Tributada no Município,08.02.02 - treinamento,PRODUTO 8   - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2007,Processado com sucesso,162142
PJ,10.375.443/0001-04,Econômico Marketing,00-9999-0009,econ@email.com,10000-009,Rua 10,,Bairro 10,Maranhão,MUNIC 10,TM - Tributada no Município,01.01.02 - desenvolvimento de sistemas,PRODUTO 10  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2009,Processado com sucesso,172114
